7.12.2013 Tommi Soidinmäki & Energia – Yksityistilaisuus, Rauma
14.12.2013 Tommi Soidinmäki & Energia – Martin kievari, Äänekoski
16.12.2013 Tommi Soidinmäki & Energia – Pieksämäen kirkko, Pieksämäki
17.12.2013 Tommi Soidinmäki & Energia – Saarijärven kirkko, Saarijärvi
4.1.2014 Tommi Soidinmäki & Energia – Wanhan Kellari, Helsinki
11.1.2014 Tommi Soidinmäki & Energia – Limingan NS, Liminka
17.1.2014 Tommi Soidinmäki & Energia – Jyväshovi, Jyväskylä
18.1.2014 Tommi Soidinmäki & Energia – Hotelli Vaakuna, Kouvola
8.2.2014 Energia – Ravintola Hymykuoppa, Kangasniemi
15.2.2014 Energia – Yksityistilaisuus, Jyväskylä
16.2.2014 Tommi Soidinmäki & Energia – Kivistön työväentalo, Jyväskylä
18.2.2014 Tommi Soidinmäki & Energia – Viking XPRS, Helsinki
19.2.2014 Tommi Soidinmäki & Energia – Viking XPRS, Helsinki
20.2.2014 Tommi Soidinmäki & Energia – Viking XPRS, Helsinki
23.2.2014 Tommi Soidinmäki & Energia – Viking Grace, Turku
29.3.2014 Tommi Soidinmäki & Energia – Lomakeskus Huhmari, Polvijärvi
15.3.2014 Tommi Soidinmäki & Energia – Sokos Hotel Bomba, Nurmes
8.3.2014 Tommi Soidinmäki & Energia – Limingan NS, Liminka
12.4.2014 Pekka Mikkola & Energia – Pajarinhovi, Kitee
19.4.2014 Tommi Soidinmäki & Energia – Tanhuhovi, Lohja
2.5.2014 Tommi Soidinmäki & Energia – Wanhan Kellari, Helsinki
3.5.2014 Tommi Soidinmäki, Isto Hiltunen & Energia – Paviljonki, Jyväskylä
13.5.2014 Tommi Soidinmäki & Energia – Viking Grace, Turku
31.5.2014 Tommi Soidinmäki & Energia – Ämyri, Somero
7.6.2014 Tommi Soidinmäki & Energia – Liperin lava, Joensuu
3.6.2014 Tommi Soidinmäki & Energia – Hotelli Hiittenharju, Harjavalta
4.6.2014 Tommi Soidinmäki & Energia – Särkkä, Punkalaidun
13.6.2014 Isto Hiltunen & Energia – Yksityistilaisuus, Helsinki
14.6.2014 Tommi Soidinmäki & Energia – Valasranta, Yläne
20.6.2014 Tommi Soidinmäki & Energia – Savion lava, Laukaa
21.6.2014 Jenna Bågeberg & Energia – Kukonhiekka, Saarijärvi
27.6.2014 Tommi Soidinmäki & Energia – Pavi, Vantaa
28.6.2014 Tommi Soidinmäki & Energia – Hirvensuuli, Huittinen
4.7.2014 Tommi Soidinmäki & Energia – Kruunuareena, Punkaharju
5.7.2014 Duo Tommi Soidinmäki & Energia – Yksityistilaisuus, Tampere
5.7.2014 Tommi Soidinmäki & Energia – Satahäme soi-festivaalipuisto, Ikaalinen
6.7.2014 Tommi Soidinmäki & Energia – Kolmilammi, Ryttylä
11.7.2014 Tommi Soidinmäki & Energia – Tangomarkkinat, Seinäjoki
12.7.2014 Tommi Soidinmäki & Energia – Maaningan kasino, Maaninka
15.7.2014 Tommi Soidinmäki & Energia – Merikievari, Merikarvia
17.7.2014 Tommi Soidinmäki, Mikael Konttinen & Energia – Kirmot, Saarijärvi
18.7.2014 Tommi Soidinmäki & Energia – Jyväshovi, Jyväskylä
19.7.2014 Tommi Soidinmäki & Energia – Urjanlinna, Sievi
25.7.2014 Tommi Soidinmäki & Energia – Vuonislahden lava, Lieksa
26.7.2014 Isto Hiltunen & Energia – Mäntymotelli, Mäntyharju
27.7.2014 Tommi Soidinmäki & Energia – Baltic Princess, Turku
28.7.2014 Tommi Soidinmäki & Energia – Baltic Princess, Turku
29.7.2014 Tommi Soidinmäki & Energia – Baltic Princess, Turku
30.7.2014 Tommi Soidinmäki & Energia – Baltic Princess, Turku
1.8.2014 Tommi Soidinmäki & Energia – Lomakeskus Karemajat, Ylitornio
2.8.2014 Tommi Soidinmäki & Energia – Vaattojärven rantapaviljonki, Kolari
8.8.2014 Energia – Yksityistilaisuus, Jyväskylä
16.8.2014 Tommi Soidinmäki & Energia – Yksityistilaisuus, Jyväskylä
16.8.2014 Tommi Soidinmäki & Energia – Syvälahden lava, Kangasniemi
20.8.2014 Tommi Soidinmäki & Energia – Hotelli Rauhalahti, Kuopio
30.8.2014 Tommi Soidinmäki & Energia – Katiskanmäen Firabeli, Salo
6.9.2014 Tommi Soidinmäki & Energia – Kukonhiekka, Saarijärvi
13.9.2014 Isto Hiltunen & Energia – Finlandia Marathon 2014, Jyväskylä
26.9.2014 Tommi Soidinmäki & Energia – Yritystilaisuus, Pori
3.10.2014 Tommi Soidinmäki & Energia – Jyväshovi, Jyväskylä
4.10.2014 Tommi Soidinmäki & Energia – Limingan NS, Liminka
5.10.2014 Saija Tuupanen, Tommi Soidinmäki & Energia – Carelia-sali, Joensuu
8.10.2014 Tommi Soidinmäki & Energia – Ravintola Monrepos, Lappeenranta
11.10.2014 Energia – Yksityistilaisuus, Jyväskylä
12.10.2014 Saija Tuupanen, Tommi Soidinmäki & Energia – Vantaa, Martinus
24.10.2014 Saija Tuupanen, Tommi Soidinmäki & Energia – Monitoimihalli, Saarijärvi
25.10.2014 Tommi Soidinmäki & Energia – Tanhuhovi, Lohja
26.10.2014 Tommi Soidinmäki & Energia – Viking Grace – Turku-Tukholma 
31.10.2014 Isto Hiltunen & Energia – Peurunka Areena, Laukaa
1.11.2014 Tommi Soidinmäki & Energia – Alapitkän NS, Lapinlahti
2.11.2014 Saija Tuupanen, Tommi Soidinmäki & Energia – Madetoja-sali, Oulu
5.11.2014 Saija Tuupanen, Tommi Soidinmäki & Energia – Akustiikka-sali, Ylivieska
6.11.2014 A.Koriseva, S. Tuupanen, J. Bågeberg, T. Soidinmäki & Energia – Keljon NS, Jyväskylä
7.11.2014 Tommi Soidinmäki & Energia – Tähtikellari, Pori
13.11.2014 Saija Tuupanen, Tommi Soidinmäki & Energia – Varkaus-sali, Varkaus
15.11.2014 Isto Hiltunen & Energia – Yksityistilaisuus, Kouvola
